,id,host_age
10470,SRR6265034,1.0
10683,SRR6265429,1.0
9949,SRR6264005,1.0
10280,SRR6264669,1.0
10645,SRR6265357,1.0
10381,SRR6264847,1.0
2399,SRR961857,0.7
10500,SRR6265088,1.0
10197,SRR6264476,1.0
10167,SRR6264412,1.0
10544,SRR6265159,1.0
10320,SRR6264748,1.0
10009,SRR6264099,1.0
10174,SRR6264426,1.0
2437,SRR961833,0.9
10686,SRR6265440,1.0
10653,SRR6265370,1.0
10400,SRR6264889,1.0
10330,SRR6264768,1.0
10483,SRR6265060,1.0
10569,SRR6265210,1.0
2871,SRR2914273,0.99726
10225,SRR6264539,1.0
10243,SRR6264577,1.0
10605,SRR6265278,1.0
10395,SRR6264874,1.0
10326,SRR6264761,1.0
10350,SRR6264806,1.0
8519,ERR1160730,1.0
10371,SRR6264837,1.0
2854,SRR2914248,0.745205
10800,SRR6265694,1.0
10078,SRR6264232,1.0
10339,SRR6264785,1.0
10033,SRR6264144,1.0
10116,SRR6264301,1.0
10246,SRR6264582,1.0
2454,SRR961856,0.7
10738,SRR6265575,1.0
3673,SRR5079186,0.572603
9951,SRR6264007,1.0
10423,SRR6264926,1.0
3670,SRR5079183,0.613699
3418,SRR5078925,0.5863010000000001
3754,SRR5079269,0.605479
10270,SRR6264637,1.0
10697,SRR6265460,1.0
10757,SRR6265613,1.0
8404,ERR1090477,1.0
10169,SRR6264414,1.0
9993,SRR6264074,1.0
10722,SRR6265532,1.0
10467,SRR6265030,1.0
10098,SRR6264272,1.0
3717,SRR5079231,0.671233
10107,SRR6264288,1.0
2797,SRR2914127,0.5863010000000001
9966,SRR6264032,1.0
3382,SRR5078889,0.605479
10348,SRR6264803,1.0
10617,SRR6265306,1.0
10553,SRR6265176,1.0
10484,SRR6265061,1.0
10296,SRR6264699,1.0
10542,SRR6265156,1.0
2340,SRR961835,0.9
3609,SRR5079122,0.613699
2413,SRR961853,0.7
9985,SRR6264066,1.0
10392,SRR6264871,1.0
8215,ERR1091032,1.0
2822,SRR2914176,0.745205
10080,SRR6264237,1.0
10181,SRR6264440,1.0
2364,SRR961828,0.9
10779,SRR6265650,1.0
3622,SRR5079135,0.731507
9998,SRR6264081,1.0
10485,SRR6265062,1.0
2863,SRR2914257,0.9945209999999999
10115,SRR6264299,1.0
10207,SRR6264503,1.0
2385,SRR961729,0.7
10499,SRR6265086,1.0
10429,SRR6264938,1.0
10524,SRR6265128,1.0
10794,SRR6265683,1.0
10205,SRR6264497,1.0
10797,SRR6265691,1.0
3628,SRR5079141,0.594521
10445,SRR6264989,1.0
2807,SRR2914161,0.9945209999999999
2798,SRR2914128,0.8273969999999999
10176,SRR6264428,1.0
10496,SRR6265083,1.0
3731,SRR5079246,0.652055
10597,SRR6265261,1.0
10266,SRR6264629,1.0
10487,SRR6265064,1.0
3099,SRR5078600,0.594521
10516,SRR6265117,1.0
10680,SRR6265425,1.0
10356,SRR6264815,1.0
10539,SRR6265151,1.0
9988,SRR6264069,1.0
10109,SRR6264291,1.0
2830,SRR2914200,0.761644
10610,SRR6265291,1.0
10609,SRR6265290,1.0
10463,SRR6265025,1.0
10026,SRR6264130,1.0
3641,SRR5079154,0.610959
10016,SRR6264112,1.0
10631,SRR6265334,1.0
10133,SRR6264334,1.0
3480,SRR5078988,0.5863010000000001
10473,SRR6265039,1.0
10564,SRR6265197,1.0
10436,SRR6264961,1.0
10288,SRR6264681,1.0
10624,SRR6265317,1.0
10022,SRR6264122,1.0
10365,SRR6264828,1.0
10093,SRR6264267,1.0
10158,SRR6264391,1.0
10514,SRR6265113,1.0
10067,SRR6264216,1.0
2847,SRR2914241,1.0
10587,SRR6265243,1.0
10732,SRR6265562,1.0
10600,SRR6265264,1.0
10122,SRR6264311,1.0
10513,SRR6265112,1.0
10712,SRR6265515,1.0
10062,SRR6264206,1.0
