model,stage,AUC
untransfer,0-2month,0.578
untransfer,0-2month,0.5052
untransfer,0-2month,0.5016
untransfer,0-2month,0.539
untransfer,0-2month,0.5636
untransfer,0-2month,0.5366
untransfer,0-2month,0.4952
untransfer,0-2month,0.4828
untransfer,2-6month,0.5844
untransfer,2-6month,0.7002
untransfer,2-6month,0.5921
untransfer,2-6month,0.6451
untransfer,2-6month,0.6834
untransfer,2-6month,0.657
untransfer,2-6month,0.6284
untransfer,2-6month,0.6645
untransfer,6-12month,0.6465
untransfer,6-12month,0.4617
untransfer,6-12month,0.6154
untransfer,6-12month,0.6217
untransfer,6-12month,0.6101
untransfer,6-12month,0.5448
untransfer,6-12month,0.6632
untransfer,6-12month,0.6105
transfer,0-2month,0.4416
transfer,0-2month,0.5604
transfer,0-2month,0.6025
transfer,0-2month,0.5867
transfer,0-2month,0.6415
transfer,0-2month,0.4933
transfer,0-2month,0.5618
transfer,0-2month,0.5955
transfer,2-6month,0.5612
transfer,2-6month,0.6763
transfer,2-6month,0.7351
transfer,2-6month,0.8026
transfer,2-6month,0.6505
transfer,2-6month,0.5341
transfer,2-6month,0.6394
transfer,2-6month,0.7415
transfer,6-12month,0.5869
transfer,6-12month,0.6616
transfer,6-12month,0.5834
transfer,6-12month,0.6702
transfer,6-12month,0.6169
transfer,6-12month,0.5673
transfer,6-12month,0.6374
transfer,6-12month,0.6586
