model,stage,AUC
untransfer,0-2month,0.578
untransfer,0-2month,0.5052
untransfer,0-2month,0.5016
untransfer,0-2month,0.539
untransfer,0-2month,0.5636
untransfer,0-2month,0.5366
untransfer,0-2month,0.4952
untransfer,0-2month,0.4828
untransfer,2-6month,0.5844
untransfer,2-6month,0.7002
untransfer,2-6month,0.5921
untransfer,2-6month,0.6451
untransfer,2-6month,0.6834
untransfer,2-6month,0.657
untransfer,2-6month,0.6284
untransfer,2-6month,0.6645
untransfer,6-12month,0.6465
untransfer,6-12month,0.4617
untransfer,6-12month,0.6154
untransfer,6-12month,0.6217
untransfer,6-12month,0.6101
untransfer,6-12month,0.5448
untransfer,6-12month,0.6632
untransfer,6-12month,0.6105
transfer,0-2month,0.5149
transfer,0-2month,0.6683
transfer,0-2month,0.5863
transfer,0-2month,0.5794
transfer,0-2month,0.5276
transfer,0-2month,0.6275
transfer,0-2month,0.6105
transfer,0-2month,0.5976
transfer,2-6month,0.7747
transfer,2-6month,0.8642
transfer,2-6month,0.608
transfer,2-6month,0.8642
transfer,2-6month,0.7511
transfer,2-6month,0.7367
transfer,2-6month,0.7061
transfer,2-6month,0.7845
transfer,6-12month,0.7674
transfer,6-12month,0.7189
transfer,6-12month,0.4785
transfer,6-12month,0.7892
transfer,6-12month,0.7086
transfer,6-12month,0.6726
transfer,6-12month,0.6714
transfer,6-12month,0.6623
